sim_alias,llama3.1-8b,phi4-mini,qwen2.5-3b
dsl,43.05555555555556,6.944444444444445,16.666666666666664
llama3.1-8b,45.83333333333333,11.11111111111111,11.11111111111111
phi4-mini,38.88888888888889,1.3888888888888888,16.666666666666664
qwen2.5-3b,38.88888888888889,8.333333333333332,11.11111111111111
