,dsl,llama3.1-8b,phi4-mini,qwen2.5-3b
dsl,1.0,0.9655674197014679,0.9881798194657146,0.983684279549926
llama3.1-8b,0.9655674197014679,1.0,0.9142729994595089,0.996615895540124
phi4-mini,0.9881798194657146,0.9142729994595089,0.9999999999999997,0.9444779046074485
qwen2.5-3b,0.983684279549926,0.996615895540124,0.9444779046074485,0.9999999999999999
